Institution,OA Type,Discipline,Progress,Duration (in seconds),Finished,Do you agree to participate in this study?,GOLD ONLY Was there a fee (article processing charge) for the publication indicated in our email to you?,"GOLD ONLY If you had grant funding to publish your next article open access in a journal that charged a fee, would you be willing to pay it? - Selected Choice","GOLD ONLY If you had grant funding to publish your next article open access in a journal that charged a fee, would you be willing to pay it? - Maybe - Text",Where did funding come from for payment of the fee? (whether you paid for the fee or a co-author paid for it; select all that apply if multiple funding sources apply) - Selected Choice,Where did funding come from for payment of the fee? (whether you paid for the fee or a co-author paid for it; select all that apply if multiple funding sources apply) - Other - Text,"If you didn't have access to this funding, would you still have published in this journal? - Selected Choice","If you didn't have access to this funding, would you still have published in this journal? - Other - Text","If you had a colleague at an R3 university with zero grant funding, do you think this fee would be reasonable for them to pay?",What fees (if any) do you think are reasonable for journals to ask in exchange for open access publishing? (Please select the highest range you would deem reasonable),How do you perceive your ability to pay a publishing fee compared to other researchers in your field?,Do you have any additional comments regarding authors' ability to pay publishing fees for open access?,Do you have any additional comments about the topics in this survey?
Pitt,Gold,NSE,100,84,TRUE,I agree to participate,Yes,,,Grant,,No,,Extremely unreasonable,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,NSE,100,168,TRUE,I agree to participate,No,Maybe,,,,,,,Less than or equal to $500,It is somewhat more difficult for me to pay publishing fees than other researchers in my field,Pitt and NIH should help authors pay these fees. Other schools pick up some or all of these charges. The Universities and NIH should also negotiate lower fees. Fees for some journals are outrageous and even society journal fees are getting out of hand.,See my previous comments. 
Pitt,Gold,NSE,100,181,TRUE,I agree to participate,No,Maybe,i prefer journals that do not charge publication fees,,,,,,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,NSE,100,71,TRUE,I agree to participate,Yes,,,Grant,,No,,Extremely unreasonable,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,NSE,100,257,TRUE,I agree to participate,Yes,,,"Grant,Other university funding",,No,,Extremely unreasonable,Less than or equal to $3k,It is somewhat more difficult for me to pay publishing fees than other researchers in my field,"Fees of $6000 to $10000 to publish after slow reviews and turnaround times by the journal are absurd. The system is broken yet we are often required or encouraged to publish in open access journals by NIH et al but we do not have the funds in our limited budget to cover this. The fees are not sustainable with the current level of support by NIH and non-profits. These fees may eat up as much as 10-20% of a small non profit grant. How are we supposed to cover our salaries, our lab salaries, pay for space and supplieds, and then also pay these absurd fees? ",Help is needed. Current university support and external funding is not keeping up with the cost of things and faculty are burning out. This is another small reason we are seeing less and less PhDs doing postdoctoral training.  
Pitt,Gold,NSE,100,498,TRUE,I agree to participate,No,No,,,,,,,No fees are reasonable,It is much easier for me to pay publishing fees than other researchers in my field,,"Page charges and open access fees are being exploited by so-called elite journals because of their perceived status. Individuals are more than willing to pay $5-10K or more to publish in Nature and Cell title journals often because of careerism. Members of promotion and tenure committees or grant review panels are often so specialized that they cannot evaluate science outside of their narrow areas. So having the imprimatur of Cell or Nature in the journal title gives the allure of significance or importance. This is corrupting. 

"
Pitt,Gold,NSE,100,72,TRUE,I agree to participate,No,Maybe,,,,,,,No fees are reasonable,It is about the same difficulty for me to pay publishing fees than other researchers in my field,no,no
Pitt,Gold,NSE,100,272,TRUE,I agree to participate,Yes,,,Grant,,"Yes, I would have found another source of funding",,Extremely unreasonable,No fees are reasonable,It is somewhat easier for me to pay publishing fees than other researchers in my field,"If a journal is charcing fees for access to their content (libraries, online access, etc) I think it is not appropriate for researchers to pay for a journal to double dip into NIH funds.",
Pitt,Gold,NSE,100,119,TRUE,I agree to participate,Yes,,,Grant,,"Yes, I would have found another source of funding",,Somewhat reasonable,Less than or equal to $3k,It is much easier for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,NSE,100,372,TRUE,I agree to participate,No,Maybe,,,,,,,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,"The paper referenced in the invitation did not have a fee because it was specifically waived for this submission.  Normally the journal has a large fee.  I hope funding agency action, such as setting a maximum publication fee allowed to be charged to a grant, can reign in the unreasonable publication fees that some journals are charging. I also think the current fee structure comprises a real or perceived conflict of interest for journals, which can undermine rigorous peer review. "
Pitt,Gold,NSE,100,267,TRUE,I agree to participate,Yes,,,The fee was waived,,No,,Somewhat reasonable,Less than or equal to $1.5k,It is much more difficult for me to pay publishing fees than other researchers in my field,,"To my knowledge, in Europe many grants require that the work is published in open access journals. In the U.S. federal and state agencies would not even allow to buy a computer. 
In ASIA, especially in China, people are incentivized to publish in open access journals. However, this has led to an explosion of poor quality papers from that part of the world. "
Pitt,Gold,NSE,100,68,TRUE,I agree to participate,Yes,,,Grant,,"Yes, I would have found another source of funding",,Somewhat unreasonable,Less than or equal to $1.5k,It is somewhat easier for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,NSE,100,441,TRUE,I agree to participate,Yes,,,Other university funding,,"Yes, I would have found another source of funding",,Somewhat unreasonable,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,"Frequently, even if you have funding on a grant dedicated to publishing scientific results, the grant may have closed by the time the bill for the publication arrives so this always makes it a challenge to have funds on hand to pay for publications since you are not allowed to ""reserve"" or ""store"" the funds anywhere.",The ability to publish in open access journals is extremely important. The University should make access to funding to support this effort accessible and available.
Pitt,Gold,NSE,100,340,TRUE,I agree to participate,Yes,,,Grant,,"Yes, I would have found another source of funding",,Extremely unreasonable,Less than or equal to $500,It is somewhat easier for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,NSE,100,62,TRUE,I agree to participate,Yes,,,Grant,,"Yes, I would have found another source of funding",,Extremely unreasonable,Less than or equal to $1.5k,It is somewhat easier for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,NSE,64,31,FALSE,I agree to participate,No,Maybe,,,,,,,,,,
Pitt,Gold,NSE,100,712,TRUE,I agree to participate,Yes,,,Grant,,"Yes, I would have found another source of funding",,Somewhat unreasonable,Less than or equal to $3k,It is somewhat easier for me to pay publishing fees than other researchers in my field,"I publish through the American Astronomical Society, which offers significant discounts for authors as less-well-resourced institutions: from 10-90%.  They have allocated more funds to support this than people have requested.",
Pitt,Gold,NSE,100,171,TRUE,I agree to participate,Yes,,,Grant,,No,,Extremely unreasonable,Less than or equal to $500,It is much easier for me to pay publishing fees than other researchers in my field,"Yes, there should a be an University fund to cover these costs",
Pitt,Gold,NSE,100,1433,TRUE,I agree to participate,Yes,,,Department,,No,,Somewhat unreasonable,Less than or equal to $5k,It is much more difficult for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,NSE,100,332,TRUE,I agree to participate,Yes,,,Grant,,No,,Extremely unreasonable,Less than or equal to $500,It is somewhat easier for me to pay publishing fees than other researchers in my field,"I would love to have more university-level support for these open access publication charges.  On the other hand, some publishers charge quite a lot for open access publication and yet offer very little in the way of editorial support.  I think the charges from some such publishers, such as Public Library of Science, are quite excessive.","I have heard some discussion about replacing the current publication model with the practice of simply posting articles online.  I think this is a terrible idea.  Despite various complaints out there, I think the peer reviewing process generally does a good job selecting which papers merit publication and leading to improvements in papers before they are published.  And effective editorial support (proofreading, typesetting, etc) can also have a significant positive impact on paper quality."
Pitt,Gold,NSE,64,223129,FALSE,I agree to participate,Yes,,,"Grant,Other university funding",,No,,Somewhat unreasonable,,,,
Pitt,Gold,HSS,100,363,TRUE,I agree to participate,Yes,,,The fee was waived,,No,,,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,"Open access journals cost money to operate, just like other journals do. For me, the question is where the money should come from. One might say that the costs should be borne by their institutional hosts (universities, professional associations or societies), but that begs the question: where do those institutions get their money?  Some have endowments; most rely on some combination of membership fees, subsidies or allocations from the state (i.e., appropriations from the public sector), and direct grants from philanthropies or public funders.  It's cost spreading, no matter how you cut it.  Should researchers be included or excluded from the relevant cost spreading mechanism?  If they're excluded, why?  If they're included, to what extent?  To my knowledge, there is no consistent reasoning behind answers to either question.  It's all ad hoc.",
Pitt,Gold,HSS,100,159,TRUE,I agree to participate,Yes,,,Other university funding,,No,,Somewhat unreasonable,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,"Under the current system it is 'somewhat reasonable', but I also feel strongly that our federally-funded research (most of my publications, rather than the one I was asked about) should always be open-access (while this is more or less the case, I think it's a complicated system to understand if you're not writing your own journal articles)."
Pitt,Gold,HSS,100,104,TRUE,I agree to participate,Yes,,,Library,,Other,I would have used my RDFs but if there was not the library funding maybe I would have thought more before attempting to publish OA. ,Somewhat unreasonable,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,HSS,100,884,TRUE,I agree to participate,No,Maybe,,,,,,,Less than or equal to $500,It is much easier for me to pay publishing fees than other researchers in my field,"The system of publishing fees is inherently unfair. I guess it is to be expected in a capitalist society, but I am  in academia partly because when I entered I perceived it to be less susceptible to those economic forces. 

I am conflicted about my participation in open source publishing. Our article was originally submitted to [SUBSCRIPTION JOURNAL NAME]. We were referred to [OPEN ACCESS JOURNAL NAME] because they were just beginning the journal - that is why they waived the fee. Initial publications were promised a waived fee,  and so my  co-authors and I benefited from that timing. I just think it is inherently unfair that the public doesn't have open access to ALL published materials, especially when the opportunity to pay for publishing is not equally distributed among faculty. We need a better system! As you can see by my answers above, I object to the fees on principle, not because of the cost. Why should I benefit from paying a fee that others' can't afford? Why would I want this to be a reason why my work is used/cited by others? It should be read and used/cited on its merits, not some artifact of gamesmanship or privilege. ",Thank you for doing this survey. I hope my colleagues also express similar frustration with the current system.
Pitt,Gold,HM,100,47,TRUE,I agree to participate,Yes,,,Grant,,No,,Extremely unreasonable,Less than or equal to $3k,It is somewhat easier for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,HM,100,70,TRUE,I agree to participate,Yes,,,Grant,,No,,Somewhat unreasonable,Less than or equal to $3k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,HM,100,53,TRUE,I agree to participate,No,Yes,,,,,,,Less than or equal to $1.5k,It is somewhat easier for me to pay publishing fees than other researchers in my field,,Reviewer compensation is also important. 
Pitt,Gold,HM,100,179,TRUE,I agree to participate,No,Maybe,,,,,,,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,Many open access journals appear to be a bit predatory in their pricing structure. ,
