Group,Definition,Secondary Page,Tertiary Page,# of links to other resources from definition page,Total # of pages dedicated to open access,Green OA/Self-Archiving,Gold OA/Journal Publishing,Hybrid OA,Cost of OA,Stakeholders Mentioned,Copyright/Licensing,Embargo,Benefits,Retractions,Policy,Language related to Access vs. Visibility,Language Related to Power vs. Costs,Other interesting/different pages
Elsevier,https://www.elsevier.com/__data/assets/pdf_file/0020/181433/openaccessbooklet_May.pdf,https://www.elsevier.com/about/open-science/open-access,https://www.elsevier.com/about/open-science/open-access/surprising-facts,,,Use default,Use default,Use default,Use default,https://www.elsevier.com/about/open-science/open-access/agreements,https://www.elsevier.com/about/our-business/policies/open-access-licenses,https://www.elsevier.com/about/open-science/open-access/journal-embargo-finder,Use default,Use default,https://www.elsevier.com/about/open-science/open-access/agreements,Use default,Use default,
Springer,http://www.springer.com/us/open-access,http://resource-cms.springernature.com/springer-cms/rest/v1/content/4624/data/v2,http://www.springer.com/us/open-access/springer-open-choice,,,http://www.springer.com/gb/open-access/authors-rights/self-archiving-policy/2124,http://www.springer.com/gb/open-access/springer-open,Use default,http://www.springer.com/gb/open-access/open-access-funding,http://www.springer.com/gb/open-access/springer-open-choice/springer-compact,http://www.springer.com/gb/open-access/authors-rights/faq-about-authors-rights/2114,http://www.springer.com/gb/open-access/authors-rights/self-archiving-policy/2124,Use default,Use default,http://www.springer.com/us/open-access/authors-rights/faq-about-authors-rights/2114,Use default,Use default,http://www.springer.com/gb/open-access/open-access-track-record
"Sage Publications, Inc.",https://us.sagepub.com/en-us/nam/faqs,https://us.sagepub.com/en-us/nam/author-information,https://us.sagepub.com/en-us/nam/open-access-position-statement%20,,,https://us.sagepub.com/en-us/nam/journal-author-archiving-policies-and-re-use,https://us.sagepub.com/en-us/nam/pure-gold-open-access-journals-at-sage,https://us.sagepub.com/en-us/nam/subscription-pricing-for-hybrid-journals,https://us.sagepub.com/sites/default/files/apc.pdf,Use default,https://us.sagepub.com/en-us/nam/re-use-of-open-access-content,Use default,Use default,Use default,https://us.sagepub.com/en-us/nam/node/1368964,Use default,Use default,
IOP Publishing Ltd.,http://cms.iopscience.org/68207673-b42e-11e3-9d6d-29411a5deefe/J-VAR-LF-0214-Open-Access_7.pdf?guest=true,http://iopscience.iop.org/info/page/openaccess,http://ioppublishing.org/authors/frequently-asked-questions-faq/#copyright,,,https://publishingsupport.iopscience.iop.org/questions/what-green-open-access-options-does-iop-offer/,https://publishingsupport.iopscience.iop.org/questions/gold-open-access-journals/,https://publishingsupport.iopscience.iop.org/questions/hybrid-open-access-in-subscription-journals/,Use default,Use default,http://cms.iopscience.org/c3f526ba-8d66-11e2-bd23-e50acbc9fd86/index.html,https://publishingsupport.iopscience.iop.org/author-rights-faqs/,Use default,Use default,https://publishingsupport.iopscience.iop.org/questions/open-access-policies-and-mandates/,Use default,Use default,
Cambridge University Press,https://www.cambridge.org/core/services/open-access-policies/introduction-to-open-access,https://www.cambridge.org/core/services/open-access-policies/open-access-journals/hybrid-open-access-faqs,https://www.cambridge.org/core/services/open-access-policies,,,https://www.cambridge.org/core/services/open-access-policies/open-access-journals/green-open-access-policy-for-journals,https://www.cambridge.org/core/services/open-access-policies/open-access-journals/gold-open-access-journals,https://www.cambridge.org/core/services/open-access-policies/open-access-journals/double-dipping-policy,https://www.cambridge.org/core/services/open-access-policies/open-access-journals/gold-open-access-journals,https://www.cambridge.org/core/services/open-access-policies/open-access-resources/open-access-organisations-initiatives-and-directories,https://www.cambridge.org/core/services/open-access-policies/open-access-resources/creative-commons-licenses,https://www.cambridge.org/core/services/open-access-policies/open-access-journals/green-open-access-policy-for-journals,https://www.cambridge.org/core/services/open-access-policies/open-access-resources/benefits-of-open-access,https://www.cambridge.org/core/services/open-access-policies/social-sharing,https://www.cambridge.org/core/services/open-access-policies/open-access-resources/funder-policies-and-mandates,https://www.cambridge.org/core/services/open-access-policies/open-access-resources/benefits-of-open-access,Use default,https://www.cambridge.org/core/services/open-access-policies/open-access-journals/double-dipping-policy
ProQuest,http://www.proquest.com/products-services/dissertations/open-access-publishing.html,http://media2.proquest.com/documents/open_access_overview.pdf,,,,Use default,Use default,Use default,Use default,Use default,Use default,Use default,Use default,Use default,Use default,Use default,Use default,
Taylor & Francis,http://authorservices.taylorandfrancis.com/custom/uploads/2015/11/Publishing-open-access-the-basics.pdf,http://authorservices.taylorandfrancis.com/publishing-open-access-with-taylor-francis/,http://authorservices.taylorandfrancis.com/journal-list/,,,http://authorservices.taylorandfrancis.com/sharing-your-work/,Use default,http://authorservices.taylorandfrancis.com/wp-content/uploads/2015/11/Open-access-and-funding-the-basics.pdf,http://authorservices.taylorandfrancis.com/custom/uploads/2015/11/Open-access-and-funding-the-basics.pdf,http://authorservices.taylorandfrancis.com/open-access-funder-policies-and-mandates/,http://authorservices.taylorandfrancis.com/copyright-and-you/#VoR,http://authorservices.taylorandfrancis.com/sharing-your-work/,Use default,Use default,https://authorservices.taylorandfrancis.com/open-access-funder-policies-and-mandates/,Use default,Use default,
Oxford University Press,https://academic.oup.com/journals/pages/open_access/oxford_open_faqs#one,https://academic.oup.com/journals/pages/open_access,https://global.oup.com/academic/open-access/?cc=us&lang=en&,,,https://academic.oup.com/journals/pages/open_access/funder_policies,Use default,Use default,https://academic.oup.com/journals/pages/open_access/charges,https://academic.oup.com/journals/pages/open_access/outreach,https://academic.oup.com/journals/pages/open_access/licences,https://academic.oup.com/journals/pages/open_access/funder_policies,Use default,Use default,https://academic.oup.com/journals/pages/open_access/funder_policies,Use default,Use default,
Nature Research,http://www.nature.com/openresearch/about-open-access/what-is-open-access/,http://www.nature.com/openresearch/about-open-access/,http://www.nature.com/openresearch/about-open-access/policies-journals/,,,Use default,Use default,Use default,http://www.nature.com/openresearch/publishing-with-npg/article-processing-charges-faqs/,http://www.nature.com/openresearch/about-open-access/useful-resources/,Use default,Use default,http://www.nature.com/openresearch/about-open-access/benefits-for-authors/,Use default,Use default,http://www.nature.com/openresearch/about-open-access/benefits-for-authors/,http://www.nature.com/openresearch/about-open-access/benefits-for-authors/,http://www.nature.com/press_releases/perceptions-open-access.html
Brill,https://brill.com/page/OAfaq/frequently-asked-questions-open-access,https://brill.com/page/OpenAccessforAuthors/open-access-for-authors,https://brill.com/page/OpenAccessGeneral/general,,,https://brill.com/page/RightsPermissions/rights-and-permissions#selfarchiving,Use default,Use default,Use default,Use default,Use default,https://brill.com/page/RightsPermissions/rights-and-permissions#selfarchiving,Use default,Use default,https://brill.com/page/MandatesandFunding/mandates-and-funding,Use default,Use default,
