Group,Website Source for Definition,Definition of Open Access,Free Access,"If yes to ""Free Access,"" was there a signal word? What was that word or phrase?","If maybe to ""Free Access,"" provide word or phrase in question",Read,"If yes to ""Read,"" was there a signal word? What was that word or phrase?","If maybe to ""Read,"" provide word or phrase in question",Reuse,"If yes to ""Reuse,"" was there a signal word? What was that word or phrase?","If maybe to ""Reuse,"" provide word or phrase in question",Redistribute,"If yes to ""Redistribute,"" was there a signal word? What was that word or phrase?","If maybe to ""Redistribute,"" provide word or phrase in question",Remix,"If yes to ""Remix,"" was there a signal word? What was that word or phrase?","If maybe to ""Remix,"" provide word or phrase in question",Immediate,"If yes to ""Immediate,"" was there a signal word? What was that word or phrase?","If maybe to ""Immediate,"" provide word or phrase in question",Permanent,"If yes to ""Permanent,"" was there a signal word? What was that word or phrase?","If maybe to ""Permanent,"" provide word or phrase in question",Online,"If yes to ""Online,"" was there a signal word? What was that word or phrase?","If maybe to ""Online,"" provide word or phrase in question",Unrestricted,"If yes to ""Unrestricted,"" was there a signal word? What was that word or phrase?","If maybe to ""Unrestricted,"" provide word or phrase in question",Scholarly Literature,"If yes to ""Scholarly Literature,"" was there a signal word? What was that word or phrase?","If maybe to ""Scholarly Literature,"" provide word or phrase in question"
ACRL,http://acrl.libguides.com/scholcomm/toolkit/openaccess,"Open access literature is digital, online free of charge, and free of most copyright and licensing restrictions.",Yes,free of charge,,Maybe,,online,Maybe,,free of most copyright and licensing restrictions,Maybe,,free of most copyright and licensing restrictions,Maybe,,free of most copyright and licensing restrictions,No,,,No,,,Yes,"digital, online",,Maybe,,free of most copyright and licensing restrictions,Maybe,,literature
BMJ Journals,http://openaccess.bmj.com/,Making research free at the point of use,Yes,free,,Yes,free at the point of use,,Maybe,,point of use,Maybe,,point of use,Maybe,,point of use,No,,,No,,,No,,,No,,,Yes,research,
Brill,https://brill.com/page/OAfaq/frequently-asked-questions-open-access,"Open Access means that the reader has unrestricted, free online access to scholarly publications. It also means that there are almost no restrictions for others to further distribute or use the material. Exactly what readers are allowed to do with the work is still, however, in the hands of the author: they are free to choose either a liberal or a more restrictive Creative Commons license.",Yes,free online access,,Yes,"reader has unrestricted, free online access",,Yes,"It also means that there are almost no restrictions for others to further distribute or use the material. Exactly what readers are allowed to do with the work is still, however, in the hands of the author: they are free to choose either a liberal or a more restrictive Creative Commons license.",,Yes,"almost no restrictions for others to further distribute or use the material. Exactly what readers are allowed to do with the work is still, however, in the hands of the author: they are free to choose either a liberal or a more restrictive Creative Commons license.",,Maybe,,"almost no restrictions for others to further distribute or use the material. Exactly what readers are allowed to do with the work is still, however, in the hands of the author: they are free to choose either a liberal or a more restrictive Creative Commons license.",No,,,No,,,Yes,online access,,Yes,unrestricted,,Yes,scholarly publications,
Budapest Open Access Initiative,http://www.budapestopenaccessinitiative.org/boai-10-recommendations,"By “open access” to [peer-reviewed research literature], we mean its free availability on the public internet, permitting any users to read, download, copy, distribute, print, search, or link to the full texts of these articles, crawl them for indexing, pass them as data to software, or use them for any other lawful purpose, without financial, legal, or technical barriers other than those inseparable from gaining access to the internet itself. The only constraint on reproduction and distribution, and the only role for copyright in this domain, should be to give authors control over the integrity of their work and the right to be properly acknowledged and cited.",Yes,free availability,,Yes,Permitting any users to read,,Yes,"download, copy",,Yes,"copy, distribute, print",,Maybe,,"or use them for any other lawful purpose, without financial, legal, or technical barriers other than those inseparable from gaining access to the internet itself",No,,,No,,,Yes,on the public internet,,Maybe,,"without financial, legal, or technical barriers ",Maybe,,[peer-reviewed research literature]
Cambridge University Press,https://www.cambridge.org/core/services/open-access-policies/introduction-to-open-access,"Open Access (OA) makes scholarly research permanently available online to view without restriction. OA can also allow content to be published in a way that allows readers to redistribute, re-use and adapt the content in new works.",Maybe,,available online to view without restriction,Yes,View without restriction,,Yes,"can also allow content to be published in a way that allows readers to redistribute, re-use and adapt the content",,Yes,can also allow content to be published in a way that allows readers to redistribute,,Yes,"can also allow content to be published in a way that allows readers to redistribute, re-use and adapt the content in new works",,No,,,Yes,permanently available,,Yes,available online,,Yes,without restriction,,Yes,scholarly research,
Cornell University Libraries,http://guides.library.cornell.edu/openaccess,"Open access (OA) refers to freely available, digital, online information. Open access scholarly literature is free of charge and often carries less restrictive copyright and licensing barriers than traditionally published works, for both the users and the authors. ",Yes,freely available / free of charge,,Yes,freely available,,Maybe,,often carries less restrictive copyright and licensing barriers,Maybe,,often carries less restrictive copyright and licensing barriers than traditionally published works,Maybe,,often carries less restrictive copyright and licensing barriers than traditionally published works,No,,,No,,,Yes," digital, online",,Maybe,,less restrictive,Yes,scholarly literature,
Creative Commons,https://creativecommons.org/about/program-areas/open-access/,"Open access literature is digital, online, free of charge, and free of most copyright and licensing restrictions.",Yes,free of charge,,Maybe,,online,Maybe,,free of most copyright and licensing restrictions,Maybe,,free of most copyright and licensing restrictions,Maybe,,free of most copyright and licensing restrictions,No,,,No,,,Yes,"digital, online",,Maybe,,free of most copyright and licensing restrictions,Maybe,,literature
De Gruyter,https://www.degruyter.com/dg/page/open-access?t:state:client=H4sIAAAAAAAAAE2MPW4CMRCFJ/yFQJeGC1AbGqqUkZAQqwiJA6Bhd3CMvLYzHhFoaFPmIrlQamo6KirsgijN0zej976fM7Q/WwDQiAxzz1phwPKdlGCgKHyYKOOE2KFVkXhnSorq1RpysiCOJkqiqSFbLcUzaprVwQ7ndPi9DL4fT9evBjQL6Je+Dt6l6qwSeC62uMORRadHS2Hj9EsBT5ssecOaPuAIDwV0Q7L93fsg0LVeG7f2+4Qb9vUiFRJW2YIs/zDmDQj07ovVOH9aOdo5Ojc/R9Nb+AAAAA==,"All open access research is immediately available for free to read, download and share.",Yes,available for free,,Yes,available for free to read,,Yes,download,,Yes,share,,No,,,Yes,immediately available,,No,,,Maybe,,download,No,,,Yes,research,
Elsevier,https://www.elsevier.com/__data/assets/pdf_file/0020/181433/openaccessbooklet_May.pdf,"open access stands for the free and permanent access to published research, combined with clear guidelines for readers to share and use the content.",Yes,free,,Yes,Access,,Maybe,,clear guidelines for readers to share and use the content,Maybe,,clear guidelines for readers to share and use the content.,No,,,No,,,Yes,permanent access,,No,,,No,,,Yes,published research,
Harvard University Libraries,https://osc.hul.harvard.edu/policies/,Make research literature available online without price barriers and without most permission barriers.,Maybe,,without price barriers,Yes,available online,,Maybe,,without most permission barriers,Maybe,,without most permission barriers,Maybe,,without most permission barriers,No,,,No,,,Yes,available online,,Maybe,,without price barriers and without most permission barriers,Yes,research literature,
